metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
38060,1,3,1,2,7,47.901,10.63,0,3,3,21,1,6,300,266,52,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,4,16.14,7.94,0,3,3,15,1,4,7000,283.2,35,2,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,3,5,37.825,17.04,0,2,3,21,2,4,7000,267.7,42,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,4,103.243,50.71,0,2,3,21,1,6,300,274.3,21,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,2,2,2,31.295,16.49,0,4,3,21,1,6,50,281.9,65,1,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,3,16.433,7.18,0,1,3,5,2,4,7000,274.8,29,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,10,80.464,26.53,0,3,3,15,1,4,7000,283.2,37,1,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,4,1,3,8,78.403,22.22,0,3,1,0,2,4,3000,274.4,57,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,3,4,1.428,4.64,0,3,2,0,1,4,3000,276.3,34,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,3,4,23.064,12.24,0,3,3,0,1,4,7000,262.3,43,1,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,1,18.402,18.57,0,3,2,0,1,4,7000,274.6,64,1,2,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,1,2,4,55.806,0.13,1,4,3,0,1,4,3000,278.5,56,1,2,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,2,53.467,26.63,0,4,4,5,1,4,3000,271.6,31,1,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,31.295,6.75,0,4,3,21,1,6,50,281.9,58,2,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
